Date,Price_Close,Price_High,Price_Low,Price_Open,Circulating_Marketcap,Marketcap_Dominance,Volatility,Circulating_Supply
2021-12-15,0.1770195926739692,0.19130405270083675,0.17517100651334755,0.19095073399738763,25305098311.70482,1.479126883078294,1.1095467515335184,132521607966.43501
2021-12-14,0.1910411841368177,0.22090342306713537,0.15498089106675808,0.1573093509265586,20844778692.438374,0.9708216541184079,1.0361395415536891,132508198461.57755
2021-12-13,0.15741010593573265,0.17048140167799822,0.15152015430403187,0.1698461495832212,22503687336.676468,0.9684829513423113,0.7513971080335508,132494539275.08739
2021-12-12,0.16978974696789687,0.17389337819558823,0.16568796155011198,0.1689787080955503,22386436098.502262,0.9755252779115469,0.7369997052344068,132480809865.36885
2021-12-11,0.16902285310471532,0.1700919595286525,0.1613177949393694,0.16404295582408113,21730323638.393612,0.9876353929104184,0.7378314673555486,132467276813.13611
2021-12-10,0.16419608089538854,0.17485314738004326,0.16342308253143428,0.1692061917080808,22412026371.357193,0.988948001243485,0.7452828261889416,132453937678.72893
2021-12-09,0.1691554038790069,0.1831942558789933,0.16865736232969739,0.17943559551741003,23764492740.239655,0.9783285620990678,0.7327639835384046,132440236686.1143
2021-12-08,0.17929364739742057,0.18230521722815773,0.17232845604722946,0.1764849823396076,23371370281.316387,0.96930228944268,0.7694826926876407,132426963311.4912
2021-12-07,0.17647081985036903,0.18451402203971612,0.1749150046406313,0.17830947548537915,23610573609.924778,0.9855114992456417,0.7752300937379434,132413454448.5314
2021-12-06,0.17804609791658385,0.18087862319267628,0.15945166755430656,0.1716789172125526,22730276069.046722,0.9743062522972006,,132399926782.53424
2021-12-05,0.17161943573257218,0.18203038772066765,0.1621202730762845,0.17927330095894495,23733301490.890793,1.0010291517561203,,132386146536.82265
2021-12-04,0.17872905601975095,0.2005165438305086,0.1294027692025195,0.19993056586314953,26465306377.617203,1.055854868632892,,132372487735.22923
2021-12-03,0.20002395720759483,0.21240899791026394,0.1903254890074456,0.209451154306946,27722730716.827564,1.0389274898375485,,132358930217.21199
