Date,Price_Close,Price_High,Price_Low,Price_Open,Circulating_Marketcap,Marketcap_Dominance,Volatility,Circulating_Supply
2021-12-15,162.4146582214419,168.72643699173935,158.65642696914665,161.42350241086663,49683165859.1565,2.9040672102318803,1.0618216321005887,307781488.5511489
2021-12-14,161.37515220354106,163.38569209856166,149.68206287357728,155.16496106596995,47736000107.56359,2.2232494414648194,1.0421780932527134,307646776.5636093
2021-12-13,155.25485010442398,173.2322793749651,148.10335798805335,173.20681784301723,53286597038.25995,2.293275763856406,1.057618048319332,307647226.02637535
2021-12-12,172.93048526698618,176.9409438010571,167.78569520357036,171.9212103590366,52891180443.0077,2.304819010659177,1.0226403644827244,307647790.12752926
2021-12-11,172.1916754671546,173.88464170300352,161.4805257620532,167.83023265719055,51582090690.412575,2.3443874676655505,1.0143027466105279,307346834.20104635
2021-12-10,167.545812735016,184.72506423203666,167.2880467181601,181.2913221210573,55719428287.29932,2.458662876890836,0.9929273418226411,307347465.0380268
2021-12-09,181.2827528733899,196.76298459680177,178.7810372835331,194.60972563078974,59812911362.2701,2.4623576108958676,0.9860262277803222,307348007.24063575
2021-12-08,194.7556934889834,196.4521706805342,183.81073308821902,190.37125220948147,58484554165.05465,2.4255835908149797,0.9658756635045612,307213161.05385065
2021-12-07,190.37878770812677,204.31978788770022,187.99912442333792,194.00248539397754,59320965328.11118,2.4760725615167227,0.9698543580304445,305774254.42588013
2021-12-06,193.85220462625236,197.85577834552146,176.41877382765435,196.4295798440227,60063220243.64249,2.574538507087253,,305774824.19570625
2021-12-05,196.67250949418806,204.74728992264593,181.6976940305035,201.24178376375286,61507745088.556625,2.5942891222302737,,305641025.13006663
2021-12-04,201.0115779198461,212.7075419521467,171.14363895782935,211.16832304073972,64541799064.495125,2.574947434963667,,305641481.3316644
2021-12-03,211.817015431823,239.75610531544712,204.47529309004685,233.7652496073668,71448494230.58806,2.6775791144773584,,305642067.6323503
2021-12-02,233.76170178602624,243.37656901065134,220.20139746484674,229.78594851091057,70201071374.60945,2.6103012203883194,1.0722141003786945,305506371.6016395
2021-12-01,229.9214072166498,232.6205213549987,207.9776092925705,208.75095598731838,63498360200.614235,2.388897167854058,1.0627271876915596,304182368.4125871
2021-11-30,208.63732619994323,218.518751020589,199.7145490731457,204.2746068425587,62136852021.412544,2.3230033493995697,1.029810914932066,304182947.5618744
2021-11-29,204.28958952836882,212.9537710296301,199.8326252615964,200.64129363448066,61004508460.188705,2.320261746663348,1.0388870646287496,304047623.2740205
2021-11-28,200.9217659463942,202.40108916343405,181.09933054138068,192.9560193610646,58667939276.28756,2.334410968681439,1.0309404180717008,304048246.1783506
2021-11-27,192.94700439537635,199.50298922202646,190.75132125456395,192.07314971027895,58373410846.86847,2.3679793477398072,1.0440897731841154,303912394.4961505
2021-11-26,192.53034967595642,210.63145432439524,182.8781566459478,209.9503139794973,63806620579.46022,2.3576132194355846,1.0683736586712125,303912956.2134937
2021-11-25,210.11271473644803,216.50727576116122,202.04535819204958,205.89288200592156,62573639860.25735,2.4012470553164182,1.0591028390128667,303913565.39687324
2021-11-24,205.79858906295587,222.5596672881573,200.22999471253166,221.86301135694544,67396965032.08657,2.5533969982790508,1.05690349588107,303777383.2595043
2021-11-23,221.90977577378476,226.21870421828962,210.9504791950565,215.82408424146269,65562602431.00777,2.5394343923494342,1.024450643349497,303777971.1260432
2021-11-22,215.7897762130147,232.20167037584494,211.76798739437726,231.33158642990608,70273580732.38446,2.64667082859105,0.99908070823595,303778579.55717385
2021-11-21,230.76769546128244,236.3132127755794,210.72116644711136,218.1032564379263,66225370145.43518,2.4559644473546975,0.9854265381919866,303642280.39063406
2021-11-20,217.88242812456687,221.3916739722138,206.2150710611178,215.2962681764065,65373191142.81029,2.484535569846345,1.0088947116194769,303642936.7611969
2021-11-19,215.44323837716803,219.95460433636595,189.1632981321373,195.54244340074973,59348505275.236725,2.3595454611129334,1.0939096937207864,303507025.08920974
2021-11-18,195.2077606009951,222.8483320837076,186.74650788408343,218.7590793896789,66386800996.09282,2.4757154954929863,1.0418000898190591,303469923.0829958
2021-11-17,219.0154553416231,222.54298960912314,209.7761788030909,219.16127666384241,66508331315.6344,2.503161395760425,0.9771153727276282,303467530.06758267
2021-11-16,219.19334263934851,238.249629544094,214.17820083068546,237.73980601366836,72085525585.5054,2.567097065042,0.9437403990655155,303211846.5738169
2021-11-15,238.18357851548677,246.37393780410054,234.44140826333805,238.52069014659597,72322399825.97807,2.520645680469695,0.9326552842771801,303212269.68414515
2021-11-14,238.68232133645108,242.02126512455965,230.45087224327847,241.5912108637586,73222885224.95265,2.569460214435681,0.9755954400531329,303085881.98701274
2021-11-13,241.69231301059568,242.01634444706266,224.91766997473846,228.72278050503922,69291579116.6104,2.4480165642117586,0.9518731491106505,302950055.7994649
2021-11-12,228.58304462637653,239.09489599799147,220.96190920302917,233.6298557730393,70778309462.52267,2.4701827628562425,0.9589700000691149,302950619.16778547
2021-11-11,233.52676852576957,246.51939299930285,229.54610490496887,233.4189205469085,70643843352.72324,2.4947860470716927,0.9607010670451321,302648316.54264486
2021-11-10,233.2923194050047,248.0451977548755,217.39112950579832,239.09900193762536,72363044411.72282,2.4812403537165655,0.961162967472058,302648876.93090594
2021-11-09,239.07874362386858,253.31145152301366,237.54665696253977,248.47557033816963,75200997265.38803,2.557854332915918,0.9800268782803295,302649460.31934315
2021-11-08,248.39936945745916,253.45471831372285,240.75974610776615,249.74624921657832,75551365892.32703,2.692420975517467,0.9835997209487607,302512514.71972805
2021-11-07,249.81736653159223,258.8433750319053,245.86225810792524,258.72123846409403,77929625589.68207,2.8327065473347806,0.9701354613726979,301210778.25814956
2021-11-06,258.6507652631822,260.0664541988773,235.0213887824575,236.2360471712488,71124581228.54973,2.6170034085386775,0.925721233593375,301074209.8008063
