Date,Price_Close,Price_High,Price_Low,Price_Open,Circulating_Marketcap,Marketcap_Dominance,Volatility,Circulating_Supply
2021-10-22,60679.01229752287,63763.18988875609,59978.799024588814,62193.7754417282,1172840445639.2666,46.16459076389911,0.7101545568419274,18857842.88394177
2021-10-21,62229.46848147923,66664.70778316747,61980.051740292976,65900.09588417868,1242668575681.1123,47.12722938047601,0.7088660132338531,18856855.3506377
2021-10-20,66038.33040206794,67000.52104384998,63510.70457604851,64273.65274780132,1211939516609.446,47.7645973038607,0.7836098945460783,18855930.30420858
2021-10-19,64293.39210732613,64492.931394547995,57951.00906778288,62020.712829278644,1169400478201.5588,47.25929810877594,0.7815025161709952,18854998.99719808
2021-10-18,62017.586580697105,62695.58324969914,59859.65524122743,61528.62158910993,1160062490528.9202,46.798978709999616,0.7887163340239163,18854030.21500878
2021-10-17,61524.828234542525,61717.27212719981,58945.748587804126,60890.2476957662,1147970238725.886,46.48617373643578,0.7857205978591264,18853105.08936731
2021-10-16,60876.517474630455,62352.73186463898,60147.310537265585,61627.82240227991,1161814182973.8064,46.71811653850435,0.7869629296291775,18852105.06692875
2021-10-15,61679.701554760875,62556.43328123764,56865.89069760266,57318.67394353445,1080530015250.5829,45.31369796917947,0.7557189674216364,18851273.78060125
2021-10-14,57355.09980830324,58534.56842796963,56823.34559115967,57391.01291242284,1081843116863.3209,45.924756826253514,0.7626590745832166,18850392.4562925
2021-10-13,57371.07835167782,57778.882988500896,54215.153385218306,56030.30157006574,1056145195748.7175,46.87315174137521,0.7711956731659253,18849536.16442722
2021-10-12,56003.87675319907,57699.520397482265,53846.04543032501,57485.67996344806,1083517682031.86,47.34735046263896,0.7618720432030238,18848479.87743745
2021-10-11,57498.92317727315,57860.21991436849,54439.88179674901,54711.15400745007,1031176263108.5627,46.58063855227213,0.7506581977767718,18847642.34671684
2021-10-10,54685.66784257121,56554.0921288148,54088.95798307427,54968.216604926594,1035971126453.0083,45.61147740902489,0.7564118735178013,18846729.80931599
2021-10-09,54969.25391775828,55509.1264218944,53666.44274409253,53963.009964548335,1016972641665.344,45.48232042305494,0.7564185292863733,18845736.03906559
2021-10-08,53964.72554080152,56124.21196761816,53622.73762723013,53870.13372932518,1015171815782.8167,45.35998347282939,0.7587173505062453,18844798.50901483
2021-10-07,53791.56011707855,55356.30701146089,53361.36459258328,55318.576150252455,1042425930445.377,46.18283685306618,0.8490794553080213,18844048.47322918
2021-10-06,55333.011327334956,55772.14742304773,50401.47275168358,51504.86290110748,970514741747.1166,44.49973652609208,0.8117434112682635,18843167.1706527
2021-10-05,51496.0737935795,51906.852138615206,49051.849018410976,49233.161039240535,927668372713.7096,44.07099365616254,0.8032250176383761,18842348.39144953
