"Date,""Price (Close)"",""Price (High)"",""Price (Low)"",""Price (Open)"",""Real Volume"",""Circulating Marketcap"",""Realized Marketcap"",""Marketcap Dominance"""
"2021-12-12,""50095.84188761455"",""50810.77529835218"",""48669.0193671816"",""49361.29463474881"",""3831001779.00268"",""932850082860.8726"",""462270672671.6879"",""40.65045603188022"""
"2021-12-11,""49413.99169724149"",""49513.22202055468"",""46787.423663494264"",""47167.986090115475"",""4380321400.03175"",""891354328562.75"",""462141246590.3754"",""40.51173361068042"""
"2021-12-10,""47177.6365366698"",""50144.88019965764"",""46900.03411660442"",""47663.86696784702"",""6713628645.510496"",""900679070561.247"",""461754584867.7283"",""39.74316074033094"""
"2021-12-09,""47580.70580969434"",""50845.02566051479"",""47351.603505426734"",""50518.58446629093"",""5233539741.057567"",""954572952929.6954"",""462040211572.97864"",""39.29753496808501"""
"2021-12-08,""50514.81642085562"",""51245.42067573133"",""48660.06670851551"",""50639.81465174732"",""5107798150.014102"",""956810179951.341"",""462831419240.6122"",""39.68266673393613"""
"2021-12-07,""50631.72168899536"",""51992.122542530844"",""50061.08758186998"",""50597.09879782962"",""5383313353.361774"",""955954363447.0396"",""462885310187.83307"",""39.901784407943765"""
"2021-12-06,""50513.5013442801"",""50962.52726814914"",""47153.46144735622"",""49427.99752664799"",""8511419912.496707"",""933812857908.4766"",""461797409208.43835"",""40.02677764106465"""
"2021-12-05,""49466.5094623895"",""49849.39180139942"",""47810.10599762086"",""49238.43316725322"",""6624125039.010346"",""930180129745.157"",""462064933794.2192"",""39.2333711606275"""
"2021-12-04,""49237.93061134608"",""53887.470232511805"",""42077.63622502468"",""53575.8562454677"",""17077720403.497211"",""1012067640391.9832"",""462225521697.0593"",""40.37725958077078"""
"2021-12-03,""53650.623544597256"",""57660.721564216205"",""51585.503975351705"",""56535.51202452782"",""9147525930.13051"",""1067919074060.5146"",""464016106004.49133"",""40.02096670404384"""
"2021-12-02,""56520.89965437467"",""57423.24524156069"",""55832.37439858283"",""57232.03275619421"",""5992279654.782852"",""1081019352694.854"",""464658824825.6445"",""40.19577024038641"""
"2021-12-01,""57219.384525995934"",""59109.406555795555"",""56477.60977968269"",""57023.079153748826"",""6595762789.941236"",""1077022666216.402"",""464676705324.0941"",""40.51909984620517"""
"2021-11-30,""56980.61206570054"",""59236.90929143546"",""55921.66829703277"",""57828.51675767581"",""6709355111.563479"",""1092188401734.2767"",""463917942451.6837"",""40.83176461095543"""
